pattern	constr_id	sent_id	pairs	order	correct_number	class	type	n_attr	punct	freq	len_context	len_prefix	sent	target
R__VERB_NOUN_CCONJ_VERB	15	1	18	y	sing	wrong	generated	0	TRUE	7238	6	37	"If you tend a news who will put to you and greet he will assess and then recruit his gravy , and not recruit what he is stepping about why he remembers hijackers at investigative minutes and"	serve
R__VERB_NOUN_CCONJ_VERB	4	8	19	x	plur	correct	generated	0	FALSE	3420	4	9	Put me disrupt if you pay any fry or	consider
R__VERB_NOUN_CCONJ_VERB	4	8	19	y	plur	wrong	generated	0	FALSE	1211	4	9	Put me disrupt if you pay any fry or	considers
R__VERB_NOUN_CCONJ_VERB	10	5	20	x	plur	correct	generated	0	FALSE	2705	4	5	You assume the picketing and	seek
R__VERB_NOUN_CCONJ_VERB	10	5	20	y	plur	wrong	generated	0	FALSE	1030	4	5	You assume the picketing and	seeks
L__NOUN_VERB_VERB	10	5	21	x	sing	correct	generated	0	FALSE	341	5	7	The sole liberty I murdered this vision	intends
L__NOUN_VERB_VERB	10	5	21	y	sing	wrong	generated	0	FALSE	327	5	7	The sole liberty I murdered this vision	intend
R__VERB_NOUN_CCONJ_VERB	6	0	22	x	plur	correct	original	0	FALSE	4657	4	6	If you have any questions or	require
R__VERB_NOUN_CCONJ_VERB	6	0	22	y	plur	wrong	original	0	FALSE	3879	4	6	If you have any questions or	requires
L__NOUN_VERB_VERB	24	2	23	x	plur	correct	generated	0	FALSE	685	5	5	Programs who seem these adults	relate
L__NOUN_VERB_VERB	24	2	23	y	plur	wrong	generated	0	FALSE	782	5	5	Programs who seem these adults	relates
L__NOUN_VERB_VERB	8	8	24	x	sing	correct	generated	0	TRUE	2251	4	23	"Actually adjust your hens to meet this obviously to their references , and still abroad , so that the difficulty to deserve her"	sees
L__NOUN_VERB_VERB	8	8	24	y	sing	wrong	generated	0	TRUE	15996	4	23	"Actually adjust your hens to meet this obviously to their references , and still abroad , so that the difficulty to deserve her"	see
R__VERB_NOUN_CCONJ_VERB	2	7	25	x	plur	correct	generated	0	TRUE	7025	7	18	Forces indeed : Rahman twenty through Atta thousand ( obtaining you pay on the wasp we hear and	refer
R__VERB_NOUN_CCONJ_VERB	2	7	25	y	plur	wrong	generated	0	TRUE	4467	7	18	Forces indeed : Rahman twenty through Atta thousand ( obtaining you pay on the wasp we hear and	refers
R__VERB_NOUN_CCONJ_VERB	0	5	26	x	plur	correct	generated	0	FALSE	24608	4	5	Mechanics pose the investment but	make
R__VERB_NOUN_CCONJ_VERB	0	5	26	y	plur	wrong	generated	0	FALSE	7718	4	5	Mechanics pose the investment but	makes
L__NOUN_VERB_VERB	15	0	27	x	sing	correct	original	0	FALSE	649202	5	7	The only way to know for sure	is
L__NOUN_VERB_VERB	15	0	27	y	sing	wrong	original	0	FALSE	261453	5	7	The only way to know for sure	are
R__VERB_NOUN_CCONJ_VERB	2	6	28	x	plur	correct	generated	0	TRUE	1680	7	18	Ladies initially : Jeremy two through Electoral three ( expanding you manage on the purpose we listen and	manage
R__VERB_NOUN_CCONJ_VERB	2	6	28	y	plur	wrong	generated	0	TRUE	1105	7	18	Ladies initially : Jeremy two through Electoral three ( expanding you manage on the purpose we listen and	manages
R__VERB_NOUN_CCONJ_VERB	14	5	29	x	sing	correct	generated	0	FALSE	320	5	21	The first television you require whenever you exist on guest explains that the city minister solely writes out the duty and	compares
R__VERB_NOUN_CCONJ_VERB	14	5	29	y	sing	wrong	generated	0	FALSE	692	5	21	The first television you require whenever you exist on guest explains that the city minister solely writes out the duty and	compare
L__NOUN_VERB_VERB	18	5	30	x	sing	correct	generated	0	FALSE	556	4	7	The annoying corporate degree I have registered	enjoys
L__NOUN_VERB_VERB	18	5	30	y	sing	wrong	generated	0	FALSE	1428	4	7	The annoying corporate degree I have registered	enjoy
L__NOUN_VERB_VERB	10	6	31	x	sing	correct	generated	0	FALSE	2907	5	7	The healthy personality I provided this rock	exists
L__NOUN_VERB_VERB	10	6	31	y	sing	wrong	generated	0	FALSE	5079	5	7	The healthy personality I provided this rock	exist
L__NOUN_VERB_VERB	17	0	32	x	sing	correct	original	1	FALSE	649202	4	6	The main thing people do there	is
L__NOUN_VERB_VERB	17	0	32	y	sing	wrong	original	1	FALSE	261453	4	6	The main thing people do there	are
R__VERB_NOUN_CCONJ_VERB	14	3	33	x	sing	correct	generated	0	FALSE	782	5	21	The first pig you carry whenever you eat on possibility exists that the scrap photographer downhill lasts out the punishment and	relates
R__VERB_NOUN_CCONJ_VERB	14	3	33	y	sing	wrong	generated	0	FALSE	685	5	21	The first pig you carry whenever you eat on possibility exists that the scrap photographer downhill lasts out the punishment and	relate
L__NOUN_VERB_VERB	8	5	34	x	sing	correct	generated	0	TRUE	600	4	23	"Otherwise ensure your peoples to burn this aggressively to their homes , and deeply unfortunately , so that the globe to deny her"	throws
L__NOUN_VERB_VERB	8	5	34	y	sing	wrong	generated	0	TRUE	1224	4	23	"Otherwise ensure your peoples to burn this aggressively to their homes , and deeply unfortunately , so that the globe to deny her"	throw
L__NOUN_VERB_VERB	3	5	35	x	sing	correct	generated	0	FALSE	817	5	8	I decide the notch you began to me	loses
L__NOUN_VERB_VERB	3	5	35	y	sing	wrong	generated	0	FALSE	2313	5	8	I decide the notch you began to me	lose
L__NOUN_VERB_VERB	21	8	36	x	sing	correct	generated	1	FALSE	10564	4	7	The unable forthcoming hospitality that he deserves	includes
L__NOUN_VERB_VERB	21	8	36	y	sing	wrong	generated	1	FALSE	24625	4	7	The unable forthcoming hospitality that he deserves	include
L__NOUN_VERB_VERB	10	1	37	x	sing	correct	generated	0	FALSE	556	5	7	The stressful landlord I hired this master	enjoys
L__NOUN_VERB_VERB	10	1	37	y	sing	wrong	generated	0	FALSE	1428	5	7	The stressful landlord I hired this master	enjoy
R__VERB_NOUN_CCONJ_VERB	5	7	38	x	plur	correct	generated	0	FALSE	4307	4	9	Follow me predict if you put any publications or	represent
R__VERB_NOUN_CCONJ_VERB	5	7	38	y	plur	wrong	generated	0	FALSE	2926	4	9	Follow me predict if you put any publications or	represents
L__NOUN_VERB_VERB	10	2	39	x	sing	correct	generated	0	FALSE	1492	5	7	The critical testimony I planned this chocolate	enters
L__NOUN_VERB_VERB	10	2	39	y	sing	wrong	generated	0	FALSE	3610	5	7	The critical testimony I planned this chocolate	enter
R__VERB_NOUN_CCONJ_VERB	0	2	40	x	plur	correct	generated	0	FALSE	1226	4	5	Commissioners decide the advertising but	demonstrate
R__VERB_NOUN_CCONJ_VERB	0	2	40	y	plur	wrong	generated	0	FALSE	529	4	5	Commissioners decide the advertising but	demonstrates
L__NOUN_VERB_VERB	13	9	41	x	sing	correct	generated	0	TRUE	3023	5	37	"Because of the phone that his potable flower with Naval Amelia had meant him , he reported properties pleasant as : "" You can print a language and a tabs , eighteen stream you ca n't raise"	operates
L__NOUN_VERB_VERB	13	9	41	y	sing	wrong	generated	0	TRUE	3809	5	37	"Because of the phone that his potable flower with Naval Amelia had meant him , he reported properties pleasant as : "" You can print a language and a tabs , eighteen stream you ca n't raise"	operate
L__NOUN_VERB_VERB	19	3	42	x	plur	correct	generated	1	FALSE	2836	6	8	the absurd chores we meet in our radar	indicate
L__NOUN_VERB_VERB	19	3	42	y	plur	wrong	generated	1	FALSE	1984	6	8	the absurd chores we meet in our radar	indicates
L__NOUN_VERB_VERB	15	1	43	x	sing	correct	generated	0	FALSE	932	5	7	The effective communication to thank for romantic	adds
L__NOUN_VERB_VERB	15	1	43	y	sing	wrong	generated	0	FALSE	2283	5	7	The effective communication to thank for romantic	add
L__NOUN_VERB_VERB	4	7	44	x	sing	correct	generated	0	FALSE	5948	6	7	My haven with acting the character merely	allows
L__NOUN_VERB_VERB	4	7	44	y	sing	wrong	generated	0	FALSE	8990	6	7	My haven with acting the character merely	allow
R__VERB_NOUN_CCONJ_VERB	9	7	45	x	plur	correct	generated	0	FALSE	3201	5	6	I consider this adequate reputation and	tend
R__VERB_NOUN_CCONJ_VERB	9	7	45	y	plur	wrong	generated	0	FALSE	1298	5	6	I consider this adequate reputation and	tends
L__NOUN_VERB_VERB	6	1	46	x	plur	correct	generated	1	FALSE	1939	8	11	I refuse the volumes on which I should cancel your country	extend
L__NOUN_VERB_VERB	6	1	46	y	plur	wrong	generated	1	FALSE	1375	8	11	I refuse the volumes on which I should cancel your country	extends
R__VERB_NOUN_CCONJ_VERB	12	4	47	x	sing	correct	generated	0	FALSE	1051	5	15	Bring for a heaven of weapons in their virus that reads from the master and	learns
R__VERB_NOUN_CCONJ_VERB	12	4	47	y	sing	wrong	generated	0	FALSE	2911	5	15	Bring for a heaven of weapons in their virus that reads from the master and	learn
L__NOUN_VERB_VERB	18	0	48	x	sing	correct	original	0	FALSE	649202	4	7	The only notable difference I have noticed	is
L__NOUN_VERB_VERB	18	0	48	y	sing	wrong	original	0	FALSE	261453	4	7	The only notable difference I have noticed	are
L__NOUN_VERB_VERB	12	5	49	x	plur	correct	generated	1	FALSE	2730	5	6	Additional leaders that thereafter would translate	apply
L__NOUN_VERB_VERB	12	5	49	y	plur	wrong	generated	1	FALSE	1246	5	6	Additional leaders that thereafter would translate	applies
L__NOUN_VERB_VERB	0	7	50	x	sing	correct	generated	0	FALSE	1375	5	6	The tide to compete in participant	extends
L__NOUN_VERB_VERB	0	7	50	y	sing	wrong	generated	0	FALSE	1939	5	6	The tide to compete in participant	extend
L__NOUN_VERB_VERB	20	4	51	x	sing	correct	generated	0	FALSE	932	10	12	The electronic convenience I chose apparently from them in the first station	adds
L__NOUN_VERB_VERB	20	4	51	y	sing	wrong	generated	0	FALSE	2283	10	12	The electronic convenience I chose apparently from them in the first station	add
L__NOUN_VERB_VERB	13	5	52	x	sing	correct	generated	0	TRUE	1823	5	37	"Because of the musician that his timely comparison with Ray EI had protected him , he contacted rewards solid as : "" You can regret a pewter and a master , eighteen capacity you ca n't foresee"	explains
L__NOUN_VERB_VERB	13	5	52	y	sing	wrong	generated	0	TRUE	2136	5	37	"Because of the musician that his timely comparison with Ray EI had protected him , he contacted rewards solid as : "" You can regret a pewter and a master , eighteen capacity you ca n't foresee"	explain
L__NOUN_VERB_VERB	8	9	53	x	sing	correct	generated	0	TRUE	506	4	23	"About expect your wheels to burn this incredibly to their managers , and separately apart , so that the crate to harass her"	spends
L__NOUN_VERB_VERB	8	9	53	y	sing	wrong	generated	0	TRUE	2073	4	23	"About expect your wheels to burn this incredibly to their managers , and separately apart , so that the crate to harass her"	spend
L__NOUN_VERB_VERB	5	6	54	x	sing	correct	generated	0	TRUE	228	4	8	"Especially , the impressionist acupuncture designated for embarrassment"	understands
L__NOUN_VERB_VERB	5	6	54	y	sing	wrong	generated	0	TRUE	2723	4	8	"Especially , the impressionist acupuncture designated for embarrassment"	understand
R__VERB_NOUN_CCONJ_VERB	9	4	55	x	plur	correct	generated	0	FALSE	7238	5	6	I refuse this adequate clinic and	serve
R__VERB_NOUN_CCONJ_VERB	9	4	55	y	plur	wrong	generated	0	FALSE	4701	5	6	I refuse this adequate clinic and	serves
L__NOUN_VERB_VERB	18	4	56	x	sing	correct	generated	0	FALSE	228	4	7	The unacceptable privileged photography I have filled	understands
L__NOUN_VERB_VERB	18	4	56	y	sing	wrong	generated	0	FALSE	2723	4	7	The unacceptable privileged photography I have filled	understand
R__VERB_NOUN_CCONJ_VERB	1	2	57	x	plur	correct	generated	0	FALSE	1271	4	8	I refer we perfectly provide the pub and	respond
R__VERB_NOUN_CCONJ_VERB	1	2	57	y	plur	wrong	generated	0	FALSE	375	4	8	I refer we perfectly provide the pub and	responds
L__NOUN_VERB_VERB	24	0	58	x	plur	correct	original	0	FALSE	5041	5	5	Workers who do these introductions	look
L__NOUN_VERB_VERB	24	0	58	y	plur	wrong	original	0	FALSE	1653	5	5	Workers who do these introductions	looks
R__VERB_NOUN_CCONJ_VERB	14	0	59	x	sing	correct	original	0	FALSE	118	5	21	The first thing you notice when you arrive on location is that the waiting line literally goes out the door and	spills
R__VERB_NOUN_CCONJ_VERB	14	0	59	y	sing	wrong	original	0	FALSE	220	5	21	The first thing you notice when you arrive on location is that the waiting line literally goes out the door and	spill
R__VERB_NOUN_CCONJ_VERB	5	8	60	x	plur	correct	generated	0	FALSE	1968	4	9	Come me create if you tell any records or	reflect
R__VERB_NOUN_CCONJ_VERB	5	8	60	y	plur	wrong	generated	0	FALSE	1138	4	9	Come me create if you tell any records or	reflects
L__NOUN_VERB_VERB	19	5	61	x	plur	correct	generated	1	FALSE	1201	6	8	the electoral parties we tolerate in our label	assume
L__NOUN_VERB_VERB	19	5	61	y	plur	wrong	generated	1	FALSE	647	6	8	the electoral parties we tolerate in our label	assumes
L__NOUN_VERB_VERB	13	1	62	x	sing	correct	generated	0	TRUE	1492	5	37	"Because of the traveler that his conservative lunch with TX England had dominated him , he began times massive as : "" You can reflect a soup and a propane , eighteen shrapnel you ca n't verify"	enters
L__NOUN_VERB_VERB	13	1	62	y	sing	wrong	generated	0	TRUE	3610	5	37	"Because of the traveler that his conservative lunch with TX England had dominated him , he began times massive as : "" You can reflect a soup and a propane , eighteen shrapnel you ca n't verify"	enter
L__NOUN_VERB_VERB	13	8	63	x	sing	correct	generated	0	TRUE	399	5	37	"Because of the spreadsheet that his hostile tomorrow with Janet Alaska had tended him , he waited cm necessary as : "" You can foresee a hour and a thermometer , eighteen requirement you ca n't come"	ensures
L__NOUN_VERB_VERB	13	8	63	y	sing	wrong	generated	0	TRUE	3569	5	37	"Because of the spreadsheet that his hostile tomorrow with Janet Alaska had tended him , he waited cm necessary as : "" You can foresee a hour and a thermometer , eighteen requirement you ca n't come"	ensure
R__VERB_NOUN_CCONJ_VERB	8	9	64	x	sing	correct	generated	0	FALSE	400	7	8	It depends the trader for discomfort announcement and	hears
R__VERB_NOUN_CCONJ_VERB	8	9	64	y	sing	wrong	generated	0	FALSE	1692	7	8	It depends the trader for discomfort announcement and	hear
L__NOUN_VERB_VERB	17	4	65	x	sing	correct	generated	1	FALSE	556	4	6	The maximum dirt pairs become there	enjoys
L__NOUN_VERB_VERB	17	4	65	y	sing	wrong	generated	1	FALSE	1428	4	6	The maximum dirt pairs become there	enjoy
L__NOUN_VERB_VERB	5	3	66	x	sing	correct	generated	0	TRUE	3023	4	8	"Additionally , the urban interceptor cleaned for aunt"	operates
L__NOUN_VERB_VERB	5	3	66	y	sing	wrong	generated	0	TRUE	3809	4	8	"Additionally , the urban interceptor cleaned for aunt"	operate
R__VERB_NOUN_CCONJ_VERB	7	2	67	x	sing	correct	generated	0	TRUE	311	4	17	"As you suffer above the provision , the plenty of the superior migrant goes your drama and"	recommends
R__VERB_NOUN_CCONJ_VERB	7	2	67	y	sing	wrong	generated	0	TRUE	454	4	17	"As you suffer above the provision , the plenty of the superior migrant goes your drama and"	recommend
L__NOUN_VERB_VERB	23	9	68	x	sing	correct	generated	0	TRUE	1994	6	13	"Well , unless indeed quietly the third position he phoned in the marketing"	meets
L__NOUN_VERB_VERB	23	9	68	y	sing	wrong	generated	0	TRUE	5674	6	13	"Well , unless indeed quietly the third position he phoned in the marketing"	meet
R__VERB_NOUN_CCONJ_VERB	9	3	69	x	plur	correct	generated	0	FALSE	10674	5	6	I deserve this arrogant shine and	come
R__VERB_NOUN_CCONJ_VERB	9	3	69	y	plur	wrong	generated	0	FALSE	5252	5	6	I deserve this arrogant shine and	comes
L__NOUN_VERB_VERB	3	8	70	x	sing	correct	generated	0	FALSE	1298	5	8	I remain the salsa you preceded to me	tends
L__NOUN_VERB_VERB	3	8	70	y	sing	wrong	generated	0	FALSE	3201	5	8	I remain the salsa you preceded to me	tend
L__NOUN_VERB_VERB	16	1	71	x	sing	correct	generated	0	FALSE	10564	6	8	The richest fee you can dial in Agra	includes
L__NOUN_VERB_VERB	16	1	71	y	sing	wrong	generated	0	FALSE	24625	6	8	The richest fee you can dial in Agra	include
L__NOUN_VERB_VERB	19	8	72	x	plur	correct	generated	1	FALSE	5079	6	8	the electrostatic fisheries we develop in our monkey	exist
L__NOUN_VERB_VERB	19	8	72	y	plur	wrong	generated	1	FALSE	2907	6	8	the electrostatic fisheries we develop in our monkey	exists
R__VERB_NOUN_CCONJ_VERB	15	3	73	x	sing	correct	generated	0	TRUE	4461	6	37	"If you prefer a star who will remove to you and sail he will adjust and then raise his fire , and not vary what he is jumping about whenever he gives neighbors at authentic babies and"	begins
R__VERB_NOUN_CCONJ_VERB	15	3	73	y	sing	wrong	generated	0	TRUE	4597	6	37	"If you prefer a star who will remove to you and sail he will adjust and then raise his fire , and not vary what he is jumping about whenever he gives neighbors at authentic babies and"	begin
L__NOUN_VERB_VERB	21	0	74	x	sing	correct	original	1	FALSE	649202	4	7	The only neurological sign that he shows	is
L__NOUN_VERB_VERB	21	0	74	y	sing	wrong	original	1	FALSE	261453	4	7	The only neurological sign that he shows	are
R__VERB_NOUN_CCONJ_VERB	13	9	75	x	plur	correct	generated	0	TRUE	3569	7	26	"They extremely add if you make route in your wager , ( for gains like me ) , they begin an attraction of the sheet and"	ensure
R__VERB_NOUN_CCONJ_VERB	13	9	75	y	plur	wrong	generated	0	TRUE	399	7	26	"They extremely add if you make route in your wager , ( for gains like me ) , they begin an attraction of the sheet and"	ensures
R__VERB_NOUN_CCONJ_VERB	8	6	76	x	sing	correct	generated	0	FALSE	817	7	8	It refuses the council for man expectation and	loses
R__VERB_NOUN_CCONJ_VERB	8	6	76	y	sing	wrong	generated	0	FALSE	2313	7	8	It refuses the council for man expectation and	lose
L__NOUN_VERB_VERB	15	4	77	x	sing	correct	generated	0	FALSE	932	5	7	The annoyed custody to retaliate for technical	adds
L__NOUN_VERB_VERB	15	4	77	y	sing	wrong	generated	0	FALSE	2283	5	7	The annoyed custody to retaliate for technical	add
R__VERB_NOUN_CCONJ_VERB	2	9	78	x	plur	correct	generated	0	TRUE	2424	7	18	Reports eventually : Limerick fifteen through Ismail nine ( emerging you listen on the coat we decide and	suggest
R__VERB_NOUN_CCONJ_VERB	2	9	78	y	plur	wrong	generated	0	TRUE	3500	7	18	Reports eventually : Limerick fifteen through Ismail nine ( emerging you listen on the coat we decide and	suggests
L__NOUN_VERB_VERB	6	5	79	x	plur	correct	generated	1	FALSE	3809	8	11	I refer the facts on which I should raid your farce	operate
L__NOUN_VERB_VERB	6	5	79	y	plur	wrong	generated	1	FALSE	3023	8	11	I refer the facts on which I should raid your farce	operates
R__VERB_NOUN_CCONJ_VERB	6	6	80	x	plur	correct	generated	0	FALSE	15996	4	6	If you meet any records or	see
R__VERB_NOUN_CCONJ_VERB	6	6	80	y	plur	wrong	generated	0	FALSE	2251	4	6	If you meet any records or	sees
R__VERB_NOUN_CCONJ_VERB	5	0	81	x	plur	correct	original	0	FALSE	9900	4	9	Let me know if you have any questions or	need
R__VERB_NOUN_CCONJ_VERB	5	0	81	y	plur	wrong	original	0	FALSE	4816	4	9	Let me know if you have any questions or	needs
L__NOUN_VERB_VERB	21	4	82	x	sing	correct	generated	1	FALSE	78	4	7	The enjoyable huge wing that he melts	approves
L__NOUN_VERB_VERB	21	4	82	y	sing	wrong	generated	1	FALSE	536	4	7	The enjoyable huge wing that he melts	approve
R__VERB_NOUN_CCONJ_VERB	7	9	83	x	sing	correct	generated	0	TRUE	1046	4	17	"As you collaborate above the machine , the tsunami of the cruel lamb receives your cave and"	grows
R__VERB_NOUN_CCONJ_VERB	7	9	83	y	sing	wrong	generated	0	TRUE	3244	4	17	"As you collaborate above the machine , the tsunami of the cruel lamb receives your cave and"	grow
R__VERB_NOUN_CCONJ_VERB	10	2	84	x	plur	correct	generated	0	FALSE	1102	4	5	You apply the toy and	remember
R__VERB_NOUN_CCONJ_VERB	10	2	84	y	plur	wrong	generated	0	FALSE	289	4	5	You apply the toy and	remembers
R__VERB_NOUN_CCONJ_VERB	7	1	85	x	sing	correct	generated	0	TRUE	1245	4	17	"As you sell above the rape , the temper of the complicated stone feels your nature and"	dies
R__VERB_NOUN_CCONJ_VERB	7	1	85	y	sing	wrong	generated	0	TRUE	2523	4	17	"As you sell above the rape , the temper of the complicated stone feels your nature and"	die
L__NOUN_VERB_VERB	1	6	86	x	sing	correct	generated	0	FALSE	320	4	6	An endless infrastructure increased in three	compares
L__NOUN_VERB_VERB	1	6	86	y	sing	wrong	generated	0	FALSE	692	4	6	An endless infrastructure increased in three	compare
L__NOUN_VERB_VERB	12	4	87	x	plur	correct	generated	1	FALSE	1428	5	6	Additional grandchildren that thereby would reduce	enjoy
L__NOUN_VERB_VERB	12	4	87	y	plur	wrong	generated	1	FALSE	556	5	6	Additional grandchildren that thereby would reduce	enjoys
R__VERB_NOUN_CCONJ_VERB	0	4	88	x	plur	correct	generated	0	FALSE	1569	4	5	Birds suffer the example but	generate
R__VERB_NOUN_CCONJ_VERB	0	4	88	y	plur	wrong	generated	0	FALSE	464	4	5	Birds suffer the example but	generates
L__NOUN_VERB_VERB	0	1	89	x	sing	correct	generated	0	FALSE	637	5	6	The surplus to bother in version	admits
L__NOUN_VERB_VERB	0	1	89	y	sing	wrong	generated	0	FALSE	722	5	6	The surplus to bother in version	admit
L__NOUN_VERB_VERB	14	6	90	x	sing	correct	generated	0	FALSE	776	5	7	A Taj possibility occurred in Portland trillion	belongs
L__NOUN_VERB_VERB	14	6	90	y	sing	wrong	generated	0	FALSE	1124	5	7	A Taj possibility occurred in Portland trillion	belong
L__NOUN_VERB_VERB	20	0	91	x	sing	correct	original	0	FALSE	649202	10	12	The only reason I switched away from them in the first place	is
L__NOUN_VERB_VERB	20	0	91	y	sing	wrong	original	0	FALSE	261453	10	12	The only reason I switched away from them in the first place	are
L__NOUN_VERB_VERB	14	5	92	x	sing	correct	generated	0	FALSE	1899	5	7	A Road parent operated in Miami fifty	wants
L__NOUN_VERB_VERB	14	5	92	y	sing	wrong	generated	0	FALSE	4591	5	7	A Road parent operated in Miami fifty	want
R__VERB_NOUN_CCONJ_VERB	3	5	93	x	plur	correct	generated	0	FALSE	5196	4	10	Please submit me censor if you consider any reviewers or	receive
R__VERB_NOUN_CCONJ_VERB	3	5	93	y	plur	wrong	generated	0	FALSE	1707	4	10	Please submit me censor if you consider any reviewers or	receives
L__NOUN_VERB_VERB	0	6	94	x	sing	correct	generated	0	FALSE	647	5	6	The daughter to generate in housing	assumes
