pairs	target	gold	order	distractors	full_sent	prefix	sent
16	is	is	x	3	The purpose of dividing the members into sectors and chapters is to enable networking between those members which have certain aspects in common in order to enhance their business activities in the industry.	The purpose of dividing the members into sectors and chapters	The purpose of dividing the members into sectors and chapters is
16	are	is	y	3	The purpose of dividing the members into sectors and chapters is to enable networking between those members which have certain aspects in common in order to enhance their business activities in the industry.	The purpose of dividing the members into sectors and chapters	The purpose of dividing the members into sectors and chapters are
17	are	are	x	1	Well, as you state, the sources that there was a movement are clearly there.	Well, as you state, the sources that there was a movement	Well, as you state, the sources that there was a movement are
17	is	are	y	1	Well, as you state, the sources that there was a movement are clearly there.	Well, as you state, the sources that there was a movement	Well, as you state, the sources that there was a movement is
18	include	include	x	2	Highlights of the school year include the eisteddfod, the inter-house sports tournaments, the high quality productions by bishop gore theatre company, and the end of year balls for the senior students.	Highlights of the school year	Highlights of the school year include
18	includes	include	y	2	Highlights of the school year include the eisteddfod, the inter-house sports tournaments, the high quality productions by bishop gore theatre company, and the end of year balls for the senior students.	Highlights of the school year	Highlights of the school year includes
19	include	include	x	1	Pests of tea include mosquito bugs that can tatter leaves, so they may be sprayed with insecticides.	Pests of tea	Pests of tea include
19	includes	include	y	1	Pests of tea include mosquito bugs that can tatter leaves, so they may be sprayed with insecticides.	Pests of tea	Pests of tea includes
20	is	is	x	3	The way to counter lots of votes by new users is to vote against them, not to call them names.	The way to counter lots of votes by new users	The way to counter lots of votes by new users is
20	are	is	y	3	The way to counter lots of votes by new users is to vote against them, not to call them names.	The way to counter lots of votes by new users	The way to counter lots of votes by new users are
21	encourage	encourage	x	2	Uterine contractions and maternal muscle tone encourage the head to flex.	Uterine contractions and maternal muscle tone	Uterine contractions and maternal muscle tone encourage
21	encourages	encourage	y	2	Uterine contractions and maternal muscle tone encourage the head to flex.	Uterine contractions and maternal muscle tone	Uterine contractions and maternal muscle tone encourages
22	are	are	x	3	For adults, circumcision is often performed without clamps, and non-surgical alternatives such as the elastic ring controlled radial compression device are available.	For adults, circumcision is often performed without clamps, and non-surgical alternatives such as the elastic ring controlled radial compression device	For adults, circumcision is often performed without clamps, and non-surgical alternatives such as the elastic ring controlled radial compression device are
22	is	are	y	3	For adults, circumcision is often performed without clamps, and non-surgical alternatives such as the elastic ring controlled radial compression device are available.	For adults, circumcision is often performed without clamps, and non-surgical alternatives such as the elastic ring controlled radial compression device	For adults, circumcision is often performed without clamps, and non-surgical alternatives such as the elastic ring controlled radial compression device is
23	maintain	maintain	x	2	However, it is n't a ballad, as its driving guitars and fast-paced beat and upbeat sound maintain it as more of a pop-rock song, in the vein of`` born to be my baby''.	However, it is n't a ballad, as its driving guitars and fast-paced beat and upbeat sound	However, it is n't a ballad, as its driving guitars and fast-paced beat and upbeat sound maintain
23	maintains	maintain	y	2	However, it is n't a ballad, as its driving guitars and fast-paced beat and upbeat sound maintain it as more of a pop-rock song, in the vein of`` born to be my baby''.	However, it is n't a ballad, as its driving guitars and fast-paced beat and upbeat sound	However, it is n't a ballad, as its driving guitars and fast-paced beat and upbeat sound maintains
24	constitute	constitute	x	0	The pièces de clavecin en concerts, published in 1741, constitute the only chamber music by jean-philippe rameau and were composed in full maturity; they came after his music for solo harpsichord, and just before les indes galantes.	The pièces de clavecin en concerts, published in 1741,	The pièces de clavecin en concerts, published in 1741, constitute
24	constitutes	constitute	y	0	The pièces de clavecin en concerts, published in 1741, constitute the only chamber music by jean-philippe rameau and were composed in full maturity; they came after his music for solo harpsichord, and just before les indes galantes.	The pièces de clavecin en concerts, published in 1741,	The pièces de clavecin en concerts, published in 1741, constitutes
25	are	are	x	3	Moreover, the means by which arterial stiffness causes damage to the heart are several-fold.	Moreover, the means by which arterial stiffness causes damage to the heart	Moreover, the means by which arterial stiffness causes damage to the heart are
25	is	are	y	3	Moreover, the means by which arterial stiffness causes damage to the heart are several-fold.	Moreover, the means by which arterial stiffness causes damage to the heart	Moreover, the means by which arterial stiffness causes damage to the heart is
26	have	have	x	2	The justification required to create a page is negated by the fact that other artists with less productivity and fame have their page.	The justification required to create a page is negated by the fact that other artists with less productivity and fame	The justification required to create a page is negated by the fact that other artists with less productivity and fame have
26	has	have	y	2	The justification required to create a page is negated by the fact that other artists with less productivity and fame have their page.	The justification required to create a page is negated by the fact that other artists with less productivity and fame	The justification required to create a page is negated by the fact that other artists with less productivity and fame has
27	are	are	x	1	The ones that i see in the article are south african, tanzanian, ethiopian and egyptian, all written in english.	The ones that i see in the article	The ones that i see in the article are
27	is	are	y	1	The ones that i see in the article are south african, tanzanian, ethiopian and egyptian, all written in english.	The ones that i see in the article	The ones that i see in the article is
28	appear	appear	x	2	Integration programs such as language and vocational training appear to be insufficiently disseminated among asylum seekers and refugees.	Integration programs such as language and vocational training	Integration programs such as language and vocational training appear
28	appears	appear	y	2	Integration programs such as language and vocational training appear to be insufficiently disseminated among asylum seekers and refugees.	Integration programs such as language and vocational training	Integration programs such as language and vocational training appears
29	determine	determine	x	3	Such rules have also required the ncaa to write new rules stating that, when looking at instant replay video, the zeros on the clock, not the horn or red light, now determine the end of the game.	Such rules have also required the ncaa to write new rules stating that, when looking at instant replay video, the zeros on the clock, not the horn or red light, now	Such rules have also required the ncaa to write new rules stating that, when looking at instant replay video, the zeros on the clock, not the horn or red light, now determine
29	determines	determine	y	3	Such rules have also required the ncaa to write new rules stating that, when looking at instant replay video, the zeros on the clock, not the horn or red light, now determine the end of the game.	Such rules have also required the ncaa to write new rules stating that, when looking at instant replay video, the zeros on the clock, not the horn or red light, now	Such rules have also required the ncaa to write new rules stating that, when looking at instant replay video, the zeros on the clock, not the horn or red light, now determines
30	contains	contains	x	0	The album contains twelve music tracks plus one bonus track for the limited edition first print release of eternal flame.	The album	The album contains
30	contain	contains	y	0	The album contains twelve music tracks plus one bonus track for the limited edition first print release of eternal flame.	The album	The album contain
31	shows	shows	x	1	However, at this point i believe that swatjester's work over the last few months shows that any such concerns are no longer operative.	However, at this point i believe that swatjester's work over the last few months	However, at this point i believe that swatjester's work over the last few months shows
31	show	shows	y	1	However, at this point i believe that swatjester's work over the last few months shows that any such concerns are no longer operative.	However, at this point i believe that swatjester's work over the last few months	However, at this point i believe that swatjester's work over the last few months show
32	are	are	x	1	The species in this family are hermaphroditic.	The species in this family	The species in this family are
32	is	are	y	1	The species in this family are hermaphroditic.	The species in this family	The species in this family is
33	has	has	x	1	Culturedharan, the place inhabited by different people has almost 110, 316( 1998 eat.	Culturedharan, the place inhabited by different people	Culturedharan, the place inhabited by different people has
33	have	has	y	1	Culturedharan, the place inhabited by different people has almost 110, 316( 1998 eat.	Culturedharan, the place inhabited by different people	Culturedharan, the place inhabited by different people have
34	indicate	indicate	x	2	Delete the comments above and from the edit summary indicate a reluctant view that the subject may attain an inherent notability by virtue of his job.	Delete the comments above and from the edit summary	Delete the comments above and from the edit summary indicate
34	indicates	indicate	y	2	Delete the comments above and from the edit summary indicate a reluctant view that the subject may attain an inherent notability by virtue of his job.	Delete the comments above and from the edit summary	Delete the comments above and from the edit summary indicates
35	are	are	x	4	All students in their junior or senior year who rank in the top ten percent of the class are eligible as are other students who have a teacher recommendation.	All students in their junior or senior year who rank in the top ten percent of the class	All students in their junior or senior year who rank in the top ten percent of the class are
35	is	are	y	4	All students in their junior or senior year who rank in the top ten percent of the class are eligible as are other students who have a teacher recommendation.	All students in their junior or senior year who rank in the top ten percent of the class	All students in their junior or senior year who rank in the top ten percent of the class is
36	are	are	x	2	The clouds and colour of the sky are also fantastic.	The clouds and colour of the sky	The clouds and colour of the sky are
36	is	are	y	2	The clouds and colour of the sky are also fantastic.	The clouds and colour of the sky	The clouds and colour of the sky is
37	are	are	x	1	You wrote that when rushdoony said,`` the background of the negro culture is voodoo and magic; and the purposes the magic are control and power over god, man, nature and society.	You wrote that when rushdoony said,`` the background of the negro culture is voodoo and magic; and the purposes the magic	You wrote that when rushdoony said,`` the background of the negro culture is voodoo and magic; and the purposes the magic are
37	is	are	y	1	You wrote that when rushdoony said,`` the background of the negro culture is voodoo and magic; and the purposes the magic are control and power over god, man, nature and society.	You wrote that when rushdoony said,`` the background of the negro culture is voodoo and magic; and the purposes the magic	You wrote that when rushdoony said,`` the background of the negro culture is voodoo and magic; and the purposes the magic is
38	are	are	x	2	The licensing system varies from country to country, but usually there are several levels of licenses, the higher licenses giving the rigger more privileges in the field.	The licensing system varies from country to country, but usually there	The licensing system varies from country to country, but usually there are
38	is	are	y	2	The licensing system varies from country to country, but usually there are several levels of licenses, the higher licenses giving the rigger more privileges in the field.	The licensing system varies from country to country, but usually there	The licensing system varies from country to country, but usually there is
39	are	are	x	2	The four houses in the school( in alphabetical order) are bracken( green), brooke( blue), burns( white) and byron( red), named after british poets.	The four houses in the school( in alphabetical order)	The four houses in the school( in alphabetical order) are
39	is	are	y	2	The four houses in the school( in alphabetical order) are bracken( green), brooke( blue), burns( white) and byron( red), named after british poets.	The four houses in the school( in alphabetical order)	The four houses in the school( in alphabetical order) is
40	is	is	x	1	Mobile telephony has the advantage of reaching all areas at a lower cost, and the total number of mobile lines is almost two times that of landlines, with an estimation of 63 million lines.	Mobile telephony has the advantage of reaching all areas at a lower cost, and the total number of mobile lines	Mobile telephony has the advantage of reaching all areas at a lower cost, and the total number of mobile lines is
40	are	is	y	1	Mobile telephony has the advantage of reaching all areas at a lower cost, and the total number of mobile lines is almost two times that of landlines, with an estimation of 63 million lines.	Mobile telephony has the advantage of reaching all areas at a lower cost, and the total number of mobile lines	Mobile telephony has the advantage of reaching all areas at a lower cost, and the total number of mobile lines are
41	is	is	x	0	The latter figure is the usual positional accuracy of faint details in maps and technical plans.	The latter figure	The latter figure is
41	are	is	y	0	The latter figure is the usual positional accuracy of faint details in maps and technical plans.	The latter figure	The latter figure are
42	include	include	x	1	Other names in common use include streptomycin 6-phosphate phosphatase, streptomycin 6-phosphate phosphohydrolase, and streptomycin-6-p phosphohydrolase.	Other names in common use	Other names in common use include
42	includes	include	y	1	Other names in common use include streptomycin 6-phosphate phosphatase, streptomycin 6-phosphate phosphohydrolase, and streptomycin-6-p phosphohydrolase.	Other names in common use	Other names in common use includes
43	explain	explain	x	0	Disputing editors explain in more detail their arguments at the request of the other party.	Disputing editors	Disputing editors explain
43	explains	explain	y	0	Disputing editors explain in more detail their arguments at the request of the other party.	Disputing editors	Disputing editors explains
44	are	are	x	3	The character accents, initial poverty, and existence of oil, however, are all more consistent with an appalachian origin, much farther east.	The character accents, initial poverty, and existence of oil, however,	The character accents, initial poverty, and existence of oil, however, are
44	is	are	y	3	The character accents, initial poverty, and existence of oil, however, are all more consistent with an appalachian origin, much farther east.	The character accents, initial poverty, and existence of oil, however,	The character accents, initial poverty, and existence of oil, however, is
45	are	are	x	3	Conversely, individuals with a performance goal orientation are likely to interpret feedback as`` evaluative and judgmental information about the self''( p.	Conversely, individuals with a performance goal orientation	Conversely, individuals with a performance goal orientation are
45	is	are	y	3	Conversely, individuals with a performance goal orientation are likely to interpret feedback as`` evaluative and judgmental information about the self''( p.	Conversely, individuals with a performance goal orientation	Conversely, individuals with a performance goal orientation is
46	form	form	x	2	Self antigens, in the right context, form a suppressor t-cell population that protects self tissues from immune attack or autoimmunity.	Self antigens, in the right context,	Self antigens, in the right context, form
46	forms	form	y	2	Self antigens, in the right context, form a suppressor t-cell population that protects self tissues from immune attack or autoimmunity.	Self antigens, in the right context,	Self antigens, in the right context, forms
47	seems	seems	x	1	On issues where wikipedia editors are not united, this`` king of the hill'' way of doing things seems to be the way it works.	On issues where wikipedia editors are not united, this`` king of the hill'' way of doing things	On issues where wikipedia editors are not united, this`` king of the hill'' way of doing things seems
47	seem	seems	y	1	On issues where wikipedia editors are not united, this`` king of the hill'' way of doing things seems to be the way it works.	On issues where wikipedia editors are not united, this`` king of the hill'' way of doing things	On issues where wikipedia editors are not united, this`` king of the hill'' way of doing things seem
48	affects	affects	x	1	The segmented nature can make programming and compiler design difficult because the use of near and far pointers affects performance.	The segmented nature can make programming and compiler design difficult because the use of near and far pointers	The segmented nature can make programming and compiler design difficult because the use of near and far pointers affects
48	affect	affects	y	1	The segmented nature can make programming and compiler design difficult because the use of near and far pointers affects performance.	The segmented nature can make programming and compiler design difficult because the use of near and far pointers	The segmented nature can make programming and compiler design difficult because the use of near and far pointers affect
49	are	are	x	1	Some scenes from the a new hope climax are very similar to those in the dam busters and some of the dialogue is nearly identical in the two films.	Some scenes from the a new hope climax	Some scenes from the a new hope climax are
49	is	are	y	1	Some scenes from the a new hope climax are very similar to those in the dam busters and some of the dialogue is nearly identical in the two films.	Some scenes from the a new hope climax	Some scenes from the a new hope climax is
50	go	go	x	1	Each december tcs holds a week without walls community service programme where all senior school students and faculty go to various sites in northumberland county, quinte region, peterborough and toronto to perform volunteer work.	Each december tcs holds a week without walls community service programme where all senior school students and faculty	Each december tcs holds a week without walls community service programme where all senior school students and faculty go
50	goes	go	y	1	Each december tcs holds a week without walls community service programme where all senior school students and faculty go to various sites in northumberland county, quinte region, peterborough and toronto to perform volunteer work.	Each december tcs holds a week without walls community service programme where all senior school students and faculty	Each december tcs holds a week without walls community service programme where all senior school students and faculty goes
51	is	is	x	1	One way of listing destinations is with a bulleted list.	One way of listing destinations	One way of listing destinations is
51	are	is	y	1	One way of listing destinations is with a bulleted list.	One way of listing destinations	One way of listing destinations are
52	are	are	x	2	Salsola soda, and the other plants that were cultivated for soda ash, are`` halophytes'' that tolerate much more saline soils than do glycophytes, and that can thrive with much larger densities of sodium in their tissues than can glycophytes.	Salsola soda, and the other plants that were cultivated for soda ash,	Salsola soda, and the other plants that were cultivated for soda ash, are
52	is	are	y	2	Salsola soda, and the other plants that were cultivated for soda ash, are`` halophytes'' that tolerate much more saline soils than do glycophytes, and that can thrive with much larger densities of sodium in their tissues than can glycophytes.	Salsola soda, and the other plants that were cultivated for soda ash,	Salsola soda, and the other plants that were cultivated for soda ash, is
53	is	is	x	0	This game mechanic is similar to the possibility to use other characters' special moves in bloodstorm, another arcade fighting game.	This game mechanic	This game mechanic is
53	are	is	y	0	This game mechanic is similar to the possibility to use other characters' special moves in bloodstorm, another arcade fighting game.	This game mechanic	This game mechanic are
54	dates	dates	x	1	Its construction, at least the components still visible, dates back to norman times and has undergone significant changes over time, especially in angevin and aragonese times.	Its construction, at least the components still visible,	Its construction, at least the components still visible, dates
54	date	dates	y	1	Its construction, at least the components still visible, dates back to norman times and has undergone significant changes over time, especially in angevin and aragonese times.	Its construction, at least the components still visible,	Its construction, at least the components still visible, date
55	are	are	x	3	The two twin apartment buildings that face the northern side of the football field are the fontana buildings.	The two twin apartment buildings that face the northern side of the football field	The two twin apartment buildings that face the northern side of the football field are
55	is	are	y	3	The two twin apartment buildings that face the northern side of the football field are the fontana buildings.	The two twin apartment buildings that face the northern side of the football field	The two twin apartment buildings that face the northern side of the football field is
56	is	is	x	0	This category is for fashion articles that have not been rated on the wikipedia 1.	This category	This category is
56	are	is	y	0	This category is for fashion articles that have not been rated on the wikipedia 1.	This category	This category are
57	is	is	x	0	Therefore, the phrase is a rough description, and you will need to read the bylaws of the specific organization to determine the precise day and time that is the last possible acceptable entry.	Therefore, the phrase	Therefore, the phrase is
57	are	is	y	0	Therefore, the phrase is a rough description, and you will need to read the bylaws of the specific organization to determine the precise day and time that is the last possible acceptable entry.	Therefore, the phrase	Therefore, the phrase are
58	are	are	x	2	The most prominent meeting places on the web of the blades of exile community are the official company-hosted internet forum.	The most prominent meeting places on the web of the blades of exile community	The most prominent meeting places on the web of the blades of exile community are
58	is	are	y	2	The most prominent meeting places on the web of the blades of exile community are the official company-hosted internet forum.	The most prominent meeting places on the web of the blades of exile community	The most prominent meeting places on the web of the blades of exile community is
59	are	are	x	0	Equivalent terms are in use in most countries with field post offices.	Equivalent terms	Equivalent terms are
59	is	are	y	0	Equivalent terms are in use in most countries with field post offices.	Equivalent terms	Equivalent terms is
60	makes	makes	x	0	Some other editor makes a dumb comment and it ends up here.	Some other editor	Some other editor makes
60	make	makes	y	0	Some other editor makes a dumb comment and it ends up here.	Some other editor	Some other editor make
61	is	is	x	1	Standard school uniform for juniors is a blue shirt, blue jumper with school logo, blue and cerise striped tie.	Standard school uniform for juniors	Standard school uniform for juniors is
61	are	is	y	1	Standard school uniform for juniors is a blue shirt, blue jumper with school logo, blue and cerise striped tie.	Standard school uniform for juniors	Standard school uniform for juniors are
62	controls	controls	x	1	The size of the droplets controls the size of the produced beads.	The size of the droplets	The size of the droplets controls
62	control	controls	y	1	The size of the droplets controls the size of the produced beads.	The size of the droplets	The size of the droplets control
63	are	are	x	2	The structures of an animal cell are the nucleus, endoplasmic reticulum( rough and smooth), golgi apparatus, mitochondria, lysosomes, ribosomes, and centrioles.	The structures of an animal cell	The structures of an animal cell are
63	is	are	y	2	The structures of an animal cell are the nucleus, endoplasmic reticulum( rough and smooth), golgi apparatus, mitochondria, lysosomes, ribosomes, and centrioles.	The structures of an animal cell	The structures of an animal cell is
64	are	are	x	3	Travelling backwards in time and travelling faster than the speed of light( which i expect are the two things you are really asking about) are essentially the same thing, according to general relativity( just from a different point of view).	Travelling backwards in time and travelling faster than the speed of light( which i expect	Travelling backwards in time and travelling faster than the speed of light( which i expect are
64	is	are	y	3	Travelling backwards in time and travelling faster than the speed of light( which i expect are the two things you are really asking about) are essentially the same thing, according to general relativity( just from a different point of view).	Travelling backwards in time and travelling faster than the speed of light( which i expect	Travelling backwards in time and travelling faster than the speed of light( which i expect is
65	is	is	x	0	I'm saying( try running`` ashtar'' on the'in book' search function) unfortunately, once again as is often the case, google books will not allow a full view of the material online.	I'm saying( try running`` ashtar'' on the'in book' search function) unfortunately, once again as	I'm saying( try running`` ashtar'' on the'in book' search function) unfortunately, once again as is
65	are	is	y	0	I'm saying( try running`` ashtar'' on the'in book' search function) unfortunately, once again as is often the case, google books will not allow a full view of the material online.	I'm saying( try running`` ashtar'' on the'in book' search function) unfortunately, once again as	I'm saying( try running`` ashtar'' on the'in book' search function) unfortunately, once again as are
66	are	are	x	1	Several haunted houses, each designed with a new theme annually, are also part of h5.	Several haunted houses, each designed with a new theme annually,	Several haunted houses, each designed with a new theme annually, are
66	is	are	y	1	Several haunted houses, each designed with a new theme annually, are also part of h5.	Several haunted houses, each designed with a new theme annually,	Several haunted houses, each designed with a new theme annually, is
67	count	count	x	4	Two detectors at exactly the same scattering angle to the left and right of the foil count the number of scattered electrons.	Two detectors at exactly the same scattering angle to the left and right of the foil	Two detectors at exactly the same scattering angle to the left and right of the foil count
67	counts	count	y	4	Two detectors at exactly the same scattering angle to the left and right of the foil count the number of scattered electrons.	Two detectors at exactly the same scattering angle to the left and right of the foil	Two detectors at exactly the same scattering angle to the left and right of the foil counts
68	is	is	x	1	Discussion between editors is vital to wikipedia'' but xe just carries on with no discussion.	Discussion between editors	Discussion between editors is
68	are	is	y	1	Discussion between editors is vital to wikipedia'' but xe just carries on with no discussion.	Discussion between editors	Discussion between editors are
69	include	include	x	2	Alston was indicted in an anne arundel county courtroom with embezzlement on september 24, 2011; her charges, laid by the state prosecutor, include one count each of felony and misdemeanor theft, misappropriation by a fiduciary and two election law offenses.	Alston was indicted in an anne arundel county courtroom with embezzlement on september 24, 2011; her charges, laid by the state prosecutor,	Alston was indicted in an anne arundel county courtroom with embezzlement on september 24, 2011; her charges, laid by the state prosecutor, include
69	includes	include	y	2	Alston was indicted in an anne arundel county courtroom with embezzlement on september 24, 2011; her charges, laid by the state prosecutor, include one count each of felony and misdemeanor theft, misappropriation by a fiduciary and two election law offenses.	Alston was indicted in an anne arundel county courtroom with embezzlement on september 24, 2011; her charges, laid by the state prosecutor,	Alston was indicted in an anne arundel county courtroom with embezzlement on september 24, 2011; her charges, laid by the state prosecutor, includes
70	are	are	x	2	Diagnoses at this distance in time are almost impossible, but my impression is that charles vi probably had schizophrenia, whereas henry vi was probably mentally retarded-- he seems to have been generally clueless even on his best days.	Diagnoses at this distance in time	Diagnoses at this distance in time are
70	is	are	y	2	Diagnoses at this distance in time are almost impossible, but my impression is that charles vi probably had schizophrenia, whereas henry vi was probably mentally retarded-- he seems to have been generally clueless even on his best days.	Diagnoses at this distance in time	Diagnoses at this distance in time is
71	define	define	x	3	Rules of golf etiquette, covered by the main book, define the proper behaviour of those playing the game.	Rules of golf etiquette, covered by the main book,	Rules of golf etiquette, covered by the main book, define
71	defines	define	y	3	Rules of golf etiquette, covered by the main book, define the proper behaviour of those playing the game.	Rules of golf etiquette, covered by the main book,	Rules of golf etiquette, covered by the main book, defines
72	attend	attend	x	1	And many notable people in the industry attend each year, so the industry takes it seriously.	And many notable people in the industry	And many notable people in the industry attend
72	attends	attend	y	1	And many notable people in the industry attend each year, so the industry takes it seriously.	And many notable people in the industry	And many notable people in the industry attends
73	are	are	x	1	Carman's main areas of interest are in the philosophy of martin heidegger and in phenomenology.	Carman's main areas of interest	Carman's main areas of interest are
73	is	are	y	1	Carman's main areas of interest are in the philosophy of martin heidegger and in phenomenology.	Carman's main areas of interest	Carman's main areas of interest is
74	have	have	x	1	The oldest churches in the district have saxon origins( i.	The oldest churches in the district	The oldest churches in the district have
74	has	have	y	1	The oldest churches in the district have saxon origins( i.	The oldest churches in the district	The oldest churches in the district has
75	begins	begins	x	0	The trail begins at saratoga gap on the ridge, at the intersection of sr 9 and skyline boulevard( sr 35).	The trail	The trail begins
75	begin	begins	y	0	The trail begins at saratoga gap on the ridge, at the intersection of sr 9 and skyline boulevard( sr 35).	The trail	The trail begin
76	is	is	x	1	The minimum pocket money for au pairs is 55-60 euros a week.	The minimum pocket money for au pairs	The minimum pocket money for au pairs is
76	are	is	y	1	The minimum pocket money for au pairs is 55-60 euros a week.	The minimum pocket money for au pairs	The minimum pocket money for au pairs are
77	are	are	x	2	If citation counts from google scholar are worthless, then all citation counts in computer science are worthless, as the other sources of data are even worse than gs.	If citation counts from google scholar are worthless, then all citation counts in computer science	If citation counts from google scholar are worthless, then all citation counts in computer science are
77	is	are	y	2	If citation counts from google scholar are worthless, then all citation counts in computer science are worthless, as the other sources of data are even worse than gs.	If citation counts from google scholar are worthless, then all citation counts in computer science	If citation counts from google scholar are worthless, then all citation counts in computer science is
78	have	have	x	0	Camera-tube focus coils, by themselves, have essentially parallel lines of force, very different from the localized semi-toroidal magnetic field geometry inside a tv receiver crt focus coil.	Camera-tube focus coils, by themselves,	Camera-tube focus coils, by themselves, have
78	has	have	y	0	Camera-tube focus coils, by themselves, have essentially parallel lines of force, very different from the localized semi-toroidal magnetic field geometry inside a tv receiver crt focus coil.	Camera-tube focus coils, by themselves,	Camera-tube focus coils, by themselves, has
