pairs	order	P	T	prime	target
41	x	Active	Active	the mayor understands the princess.	a buddy kissed a child.
42	x	Passive	Passive	the camera is left by the aunt.	a child was kissed by a buddy.
42	y	Active	Passive	the aunt leaves the camera.	a child was kissed by a buddy.
43	y	Passive	Active	the camera is left by the aunt.	a buddy kissed a child.
43	x	Active	Active	the aunt leaves the camera.	a buddy kissed a child.
44	x	Passive	Passive	the author is helped by the sheriff.	a child was kissed by a buddy.
44	y	Active	Passive	the sheriff helps the author.	a child was kissed by a buddy.
45	y	Passive	Active	the author is helped by the sheriff.	a buddy kissed a child.
45	x	Active	Active	the sheriff helps the author.	a buddy kissed a child.
46	x	Passive	Passive	the reader is hurried by the opponent.	a child was kissed by a buddy.
46	y	Active	Passive	the opponent hurries the reader.	a child was kissed by a buddy.
47	y	Passive	Active	the reader is hurried by the opponent.	a buddy kissed a child.
47	x	Active	Active	the opponent hurries the reader.	a buddy kissed a child.
48	x	Passive	Passive	the cheese is tasted by the professor.	a child was kissed by a buddy.
48	y	Active	Passive	the professor tastes the cheese.	a child was kissed by a buddy.
49	y	Passive	Active	the cheese is tasted by the professor.	a buddy kissed a child.
49	x	Active	Active	the professor tastes the cheese.	a buddy kissed a child.
50	x	Passive	Passive	the salad is eaten by the scientist.	a child was kissed by a buddy.
50	y	Active	Passive	the scientist eats the salad.	a child was kissed by a buddy.
51	y	Passive	Active	the salad is eaten by the scientist.	a buddy kissed a child.
51	x	Active	Active	the scientist eats the salad.	a buddy kissed a child.
52	x	Passive	Passive	the salad is carried by the aunt.	a child was kissed by a buddy.
52	y	Active	Passive	the aunt carries the salad.	a child was kissed by a buddy.
53	y	Passive	Active	the salad is carried by the aunt.	a buddy kissed a child.
53	x	Active	Active	the aunt carries the salad.	a buddy kissed a child.
54	x	Passive	Passive	the coffee is forgotten by the teacher.	a child was kissed by a buddy.
54	y	Active	Passive	the teacher forgets the coffee.	a child was kissed by a buddy.
55	y	Passive	Active	the coffee is forgotten by the teacher.	a buddy kissed a child.
55	x	Active	Active	the teacher forgets the coffee.	a buddy kissed a child.
56	x	Passive	Passive	the bishop is selected by the sheriff.	a child was kissed by a buddy.
56	y	Active	Passive	the sheriff selects the bishop.	a child was kissed by a buddy.
57	y	Passive	Active	the bishop is selected by the sheriff.	a buddy kissed a child.
57	x	Active	Active	the sheriff selects the bishop.	a buddy kissed a child.
58	x	Passive	Passive	the worker is taught by the actor.	a child was kissed by a buddy.
58	y	Active	Passive	the actor teaches the worker.	a child was kissed by a buddy.
59	y	Passive	Active	the worker is taught by the actor.	a buddy kissed a child.
59	x	Active	Active	the actor teaches the worker.	a buddy kissed a child.
60	x	Passive	Passive	the colonel is comforted by the girl.	a juice was drunk by a doctor.
60	y	Active	Passive	the girl comforts the colonel.	a juice was drunk by a doctor.
61	y	Passive	Active	the colonel is comforted by the girl.	a doctor drank a juice.
61	x	Active	Active	the girl comforts the colonel.	a doctor drank a juice.
62	x	Passive	Passive	the instrument is washed by the child.	a juice was drunk by a doctor.
62	y	Active	Passive	the child washes the instrument.	a juice was drunk by a doctor.
63	y	Passive	Active	the instrument is washed by the child.	a doctor drank a juice.
63	x	Active	Active	the child washes the instrument.	a doctor drank a juice.
64	x	Passive	Passive	the salad is tasted by the buddy.	a juice was drunk by a doctor.
64	y	Active	Passive	the buddy tastes the salad.	a juice was drunk by a doctor.
65	y	Passive	Active	the salad is tasted by the buddy.	a doctor drank a juice.
65	x	Active	Active	the buddy tastes the salad.	a doctor drank a juice.
66	x	Passive	Passive	the girl is killed by the hero.	a juice was drunk by a doctor.
66	y	Active	Passive	the hero kills the girl.	a juice was drunk by a doctor.
67	y	Passive	Active	the girl is killed by the hero.	a doctor drank a juice.
67	x	Active	Active	the hero kills the girl.	a doctor drank a juice.
68	x	Passive	Passive	the salad is grabbed by the prince.	a juice was drunk by a doctor.
68	y	Active	Passive	the prince grabs the salad.	a juice was drunk by a doctor.
69	y	Passive	Active	the salad is grabbed by the prince.	a doctor drank a juice.
69	x	Active	Active	the prince grabs the salad.	a doctor drank a juice.
70	x	Passive	Passive	the chicken is tasted by the aunt.	a juice was drunk by a doctor.
70	y	Active	Passive	the aunt tastes the chicken.	a juice was drunk by a doctor.
71	y	Passive	Active	the chicken is tasted by the aunt.	a doctor drank a juice.
71	x	Active	Active	the aunt tastes the chicken.	a doctor drank a juice.
72	x	Passive	Passive	the business is followed by the partner.	a juice was drunk by a doctor.
72	y	Active	Passive	the partner follows the business.	a juice was drunk by a doctor.
73	y	Passive	Active	the business is followed by the partner.	a doctor drank a juice.
73	x	Active	Active	the partner follows the business.	a doctor drank a juice.
74	x	Passive	Passive	the king is asked by the champion.	a juice was drunk by a doctor.
74	y	Active	Passive	the champion asks the king.	a juice was drunk by a doctor.
75	y	Passive	Active	the king is asked by the champion.	a doctor drank a juice.
75	x	Active	Active	the champion asks the king.	a doctor drank a juice.
76	x	Passive	Passive	the jacket is caught by the captain.	a juice was drunk by a doctor.
76	y	Active	Passive	the captain catches the jacket.	a juice was drunk by a doctor.
77	y	Passive	Active	the jacket is caught by the captain.	a doctor drank a juice.
77	x	Active	Active	the captain catches the jacket.	a doctor drank a juice.
78	x	Passive	Passive	the chocolate is tasted by the cop.	a juice was drunk by a doctor.
78	y	Active	Passive	the cop tastes the chocolate.	a juice was drunk by a doctor.
79	y	Passive	Active	the chocolate is tasted by the cop.	a doctor drank a juice.
79	x	Active	Active	the cop tastes the chocolate.	a doctor drank a juice.
80	x	Passive	Passive	a colonel is bothered by a hero.	the beer was purchased by the minister.
80	y	Active	Passive	a hero bothers a colonel.	the beer was purchased by the minister.
81	y	Passive	Active	a colonel is bothered by a hero.	the minister purchased the beer.
81	x	Active	Active	a hero bothers a colonel.	the minister purchased the beer.
82	x	Passive	Passive	a cheese is selected by a cousin.	the beer was purchased by the minister.
82	y	Active	Passive	a cousin selects a cheese.	the beer was purchased by the minister.
83	y	Passive	Active	a cheese is selected by a cousin.	the minister purchased the beer.
83	x	Active	Active	a cousin selects a cheese.	the minister purchased the beer.
84	x	Passive	Passive	an engine is wrapped by a colonel.	the beer was purchased by the minister.
84	y	Active	Passive	a colonel wraps an engine.	the beer was purchased by the minister.
85	y	Passive	Active	an engine is wrapped by a colonel.	the minister purchased the beer.
85	x	Active	Active	a colonel wraps an engine.	the minister purchased the beer.
86	x	Passive	Passive	a book is prepared by a champion.	the beer was purchased by the minister.
86	y	Active	Passive	a champion prepares a book.	the beer was purchased by the minister.
87	y	Passive	Active	a book is prepared by a champion.	the minister purchased the beer.
87	x	Active	Active	a champion prepares a book.	the minister purchased the beer.
88	x	Passive	Passive	a box is caught by a professor.	the beer was purchased by the minister.
88	y	Active	Passive	a professor catches a box.	the beer was purchased by the minister.
89	y	Passive	Active	a box is caught by a professor.	the minister purchased the beer.
89	x	Active	Active	a professor catches a box.	the minister purchased the beer.
90	x	Passive	Passive	a cousin is raised by a cop.	the beer was purchased by the minister.
90	y	Active	Passive	a cop raises a cousin.	the beer was purchased by the minister.
91	y	Passive	Active	a cousin is raised by a cop.	the minister purchased the beer.
91	x	Active	Active	a cop raises a cousin.	the minister purchased the beer.
92	x	Passive	Passive	a salad is smelled by a mother.	the beer was purchased by the minister.
92	y	Active	Passive	a mother smells a salad.	the beer was purchased by the minister.
93	y	Passive	Active	a salad is smelled by a mother.	the minister purchased the beer.
93	x	Active	Active	a mother smells a salad.	the minister purchased the beer.
94	x	Passive	Passive	a partner is comforted by a teacher.	the beer was purchased by the minister.
94	y	Active	Passive	a teacher comforts a partner.	the beer was purchased by the minister.
95	y	Passive	Active	a partner is comforted by a teacher.	the minister purchased the beer.
95	x	Active	Active	a teacher comforts a partner.	the minister purchased the beer.
96	x	Passive	Passive	an adult is caught by a writer.	the beer was purchased by the minister.
96	y	Active	Passive	a writer catches an adult.	the beer was purchased by the minister.
97	y	Passive	Active	an adult is caught by a writer.	the minister purchased the beer.
97	x	Active	Active	a writer catches an adult.	the minister purchased the beer.
98	x	Passive	Passive	a club is hurt by an attorney.	the beer was purchased by the minister.
98	y	Active	Passive	an attorney hurts a club.	the beer was purchased by the minister.
99	y	Passive	Active	a club is hurt by an attorney.	the minister purchased the beer.
99	x	Active	Active	an attorney hurts a club.	the minister purchased the beer.
100	x	Passive	Passive	a band is bothered by a parent.	the motor was removed by the guy.
100	y	Active	Passive	a parent bothers a band.	the motor was removed by the guy.
101	y	Passive	Active	a band is bothered by a parent.	the guy removed the motor.
101	x	Active	Active	a parent bothers a band.	the guy removed the motor.
102	x	Passive	Passive	a physician is killed by a champion.	the motor was removed by the guy.
102	y	Active	Passive	a champion kills a physician.	the motor was removed by the guy.
103	y	Passive	Active	a physician is killed by a champion.	the guy removed the motor.
103	x	Active	Active	a champion kills a physician.	the guy removed the motor.
104	x	Passive	Passive	a corporation is judged by a nurse.	the motor was removed by the guy.
104	y	Active	Passive	a nurse judges a corporation.	the motor was removed by the guy.
105	y	Passive	Active	a corporation is judged by a nurse.	the guy removed the motor.
105	x	Active	Active	a nurse judges a corporation.	the guy removed the motor.
106	x	Passive	Passive	a hero is protected by a writer.	the motor was removed by the guy.
106	y	Active	Passive	a writer protects a hero.	the motor was removed by the guy.
107	y	Passive	Active	a hero is protected by a writer.	the guy removed the motor.
107	x	Active	Active	a writer protects a hero.	the guy removed the motor.
108	x	Passive	Passive	a candy is grabbed by a father.	the motor was removed by the guy.
108	y	Active	Passive	a father grabs a candy.	the motor was removed by the guy.
109	y	Passive	Active	a candy is grabbed by a father.	the guy removed the motor.
109	x	Active	Active	a father grabs a candy.	the guy removed the motor.
110	x	Passive	Passive	a salad is smelled by a cop.	the motor was removed by the guy.
110	y	Active	Passive	a cop smells a salad.	the motor was removed by the guy.
111	y	Passive	Active	a salad is smelled by a cop.	the guy removed the motor.
111	x	Active	Active	a cop smells a salad.	the guy removed the motor.
112	x	Passive	Passive	a tea is carried by a pilot.	the motor was removed by the guy.
112	y	Active	Passive	a pilot carries a tea.	the motor was removed by the guy.
113	y	Passive	Active	a tea is carried by a pilot.	the guy removed the motor.
113	x	Active	Active	a pilot carries a tea.	the guy removed the motor.
114	x	Passive	Passive	an anchor is accepted by a friend.	the motor was removed by the guy.
114	y	Active	Passive	a friend accepts an anchor.	the motor was removed by the guy.
115	y	Passive	Active	an anchor is accepted by a friend.	the guy removed the motor.
115	x	Active	Active	a friend accepts an anchor.	the guy removed the motor.
116	x	Passive	Passive	an anchor is described by a king.	the motor was removed by the guy.
116	y	Active	Passive	a king describes an anchor.	the motor was removed by the guy.
117	y	Passive	Active	an anchor is described by a king.	the guy removed the motor.
117	x	Active	Active	a king describes an anchor.	the guy removed the motor.
118	x	Passive	Passive	a candidate is kissed by a chief.	the motor was removed by the guy.
118	y	Active	Passive	a chief kisses a candidate.	the motor was removed by the guy.
119	y	Passive	Active	a candidate is kissed by a chief.	the guy removed the motor.
119	x	Active	Active	a chief kisses a candidate.	the guy removed the motor.
120	x	Passive	Passive	the engine was described by the chief.	a soldier is carried by a teacher.
120	y	Active	Passive	the chief described the engine.	a soldier is carried by a teacher.
121	y	Passive	Active	the engine was described by the chief.	a teacher carries a soldier.
121	x	Active	Active	the chief described the engine.	a teacher carries a soldier.
122	x	Passive	Passive	the writer was asked by the singer.	a soldier is carried by a teacher.
122	y	Active	Passive	the singer asked the writer.	a soldier is carried by a teacher.
123	y	Passive	Active	the writer was asked by the singer.	a teacher carries a soldier.
123	x	Active	Active	the singer asked the writer.	a teacher carries a soldier.
124	x	Passive	Passive	the actor was bothered by the uncle.	a soldier is carried by a teacher.
124	y	Active	Passive	the uncle bothered the actor.	a soldier is carried by a teacher.
125	y	Passive	Active	the actor was bothered by the uncle.	a teacher carries a soldier.
125	x	Active	Active	the uncle bothered the actor.	a teacher carries a soldier.
126	x	Passive	Passive	the tea was destroyed by the physician.	a soldier is carried by a teacher.
126	y	Active	Passive	the physician destroyed the tea.	a soldier is carried by a teacher.
127	y	Passive	Active	the tea was destroyed by the physician.	a teacher carries a soldier.
127	x	Active	Active	the physician destroyed the tea.	a teacher carries a soldier.
128	x	Passive	Passive	the motor was collected by the bishop.	a soldier is carried by a teacher.
128	y	Active	Passive	the bishop collected the motor.	a soldier is carried by a teacher.
129	y	Passive	Active	the motor was collected by the bishop.	a teacher carries a soldier.
129	x	Active	Active	the bishop collected the motor.	a teacher carries a soldier.
130	x	Passive	Passive	the key was left by the guy.	a soldier is carried by a teacher.
130	y	Active	Passive	the guy left the key.	a soldier is carried by a teacher.
131	y	Passive	Active	the key was left by the guy.	a teacher carries a soldier.
131	x	Active	Active	the guy left the key.	a teacher carries a soldier.
132	x	Passive	Passive	the mayor was joined by the child.	a soldier is carried by a teacher.
132	y	Active	Passive	the child joined the mayor.	a soldier is carried by a teacher.
133	y	Passive	Active	the mayor was joined by the child.	a teacher carries a soldier.
133	x	Active	Active	the child joined the mayor.	a teacher carries a soldier.
134	x	Passive	Passive	the juice was kept by the son.	a soldier is carried by a teacher.
134	y	Active	Passive	the son kept the juice.	a soldier is carried by a teacher.
135	y	Passive	Active	the juice was kept by the son.	a teacher carries a soldier.
135	x	Active	Active	the son kept the juice.	a teacher carries a soldier.
136	x	Passive	Passive	the father was beaten by the son.	a soldier is carried by a teacher.
136	y	Active	Passive	the son beat the father.	a soldier is carried by a teacher.
137	y	Passive	Active	the father was beaten by the son.	a teacher carries a soldier.
137	x	Active	Active	the son beat the father.	a teacher carries a soldier.
138	x	Passive	Passive	the club was judged by the secretary.	a soldier is carried by a teacher.
138	y	Active	Passive	the secretary judged the club.	a soldier is carried by a teacher.
139	y	Passive	Active	the club was judged by the secretary.	a teacher carries a soldier.
139	x	Active	Active	the secretary judged the club.	a teacher carries a soldier.
140	x	Passive	Passive	a television was removed by an author.	the candy is discovered by the parent.
140	y	Active	Passive	an author removed a television.	the candy is discovered by the parent.
141	y	Passive	Active	a television was removed by an author.	the parent discovers the candy.
141	x	Active	Active	an author removed a television.	the parent discovers the candy.
142	x	Passive	Passive	a champion was hurried by an employer.	the candy is discovered by the parent.
142	y	Active	Passive	an employer hurried a champion.	the candy is discovered by the parent.
143	y	Passive	Active	a champion was hurried by an employer.	the parent discovers the candy.
143	x	Active	Active	an employer hurried a champion.	the parent discovers the candy.
144	x	Passive	Passive	a business was chased by a friend.	the candy is discovered by the parent.
144	y	Active	Passive	a friend chased a business.	the candy is discovered by the parent.
145	y	Passive	Active	a business was chased by a friend.	the parent discovers the candy.
145	x	Active	Active	a friend chased a business.	the parent discovers the candy.
146	x	Passive	Passive	a business was judged by a worker.	the candy is discovered by the parent.
146	y	Active	Passive	a worker judged a business.	the candy is discovered by the parent.
147	y	Passive	Active	a business was judged by a worker.	the parent discovers the candy.
147	x	Active	Active	a worker judged a business.	the parent discovers the candy.
148	x	Passive	Passive	a wife was embraced by a singer.	the candy is discovered by the parent.
148	y	Active	Passive	a singer embraced a wife.	the candy is discovered by the parent.
149	y	Passive	Active	a wife was embraced by a singer.	the parent discovers the candy.
149	x	Active	Active	a singer embraced a wife.	the parent discovers the candy.
150	x	Passive	Passive	a coffee was selected by a secretary.	the candy is discovered by the parent.
150	y	Active	Passive	a secretary selected a coffee.	the candy is discovered by the parent.
151	y	Passive	Active	a coffee was selected by a secretary.	the parent discovers the candy.
151	x	Active	Active	a secretary selected a coffee.	the parent discovers the candy.
152	x	Passive	Passive	a soldier was punched by an employer.	the candy is discovered by the parent.
152	y	Active	Passive	an employer punched a soldier.	the candy is discovered by the parent.
153	y	Passive	Active	a soldier was punched by an employer.	the parent discovers the candy.
153	x	Active	Active	an employer punched a soldier.	the parent discovers the candy.
154	x	Passive	Passive	a chief was dragged by a professor.	the candy is discovered by the parent.
154	y	Active	Passive	a professor dragged a chief.	the candy is discovered by the parent.
155	y	Passive	Active	a chief was dragged by a professor.	the parent discovers the candy.
155	x	Active	Active	a professor dragged a chief.	the parent discovers the candy.
156	x	Passive	Passive	a singer was followed by a reader.	the candy is discovered by the parent.
156	y	Active	Passive	a reader followed a singer.	the candy is discovered by the parent.
157	y	Passive	Active	a singer was followed by a reader.	the parent discovers the candy.
157	x	Active	Active	a reader followed a singer.	the parent discovers the candy.
158	x	Passive	Passive	a bottle was dragged by an actress.	the candy is discovered by the parent.
158	y	Active	Passive	an actress dragged a bottle.	the candy is discovered by the parent.
159	y	Passive	Active	a bottle was dragged by an actress.	the parent discovers the candy.
159	x	Active	Active	an actress dragged a bottle.	the parent discovers the candy.
160	x	Passive	Passive	the meal is tasted by the parent.	a tea was raised by a doctor.
160	y	Active	Passive	the parent tastes the meal.	a tea was raised by a doctor.
161	y	Passive	Active	the meal is tasted by the parent.	a doctor raised a tea.
161	x	Active	Active	the parent tastes the meal.	a doctor raised a tea.
162	x	Passive	Passive	the captain is surprised by the author.	a tea was raised by a doctor.
162	y	Active	Passive	the author surprises the captain.	a tea was raised by a doctor.
163	y	Passive	Active	the captain is surprised by the author.	a doctor raised a tea.
163	x	Active	Active	the author surprises the captain.	a doctor raised a tea.
164	x	Passive	Passive	the salad is tasted by the man.	a tea was raised by a doctor.
164	y	Active	Passive	the man tastes the salad.	a tea was raised by a doctor.
165	y	Passive	Active	the salad is tasted by the man.	a doctor raised a tea.
165	x	Active	Active	the man tastes the salad.	a doctor raised a tea.
166	x	Passive	Passive	the business is led by the candidate.	a tea was raised by a doctor.
166	y	Active	Passive	the candidate leads the business.	a tea was raised by a doctor.
167	y	Passive	Active	the business is led by the candidate.	a doctor raised a tea.
167	x	Active	Active	the candidate leads the business.	a doctor raised a tea.
168	x	Passive	Passive	the parent is hurried by the buddy.	a tea was raised by a doctor.
168	y	Active	Passive	the buddy hurries the parent.	a tea was raised by a doctor.
169	y	Passive	Active	the parent is hurried by the buddy.	a doctor raised a tea.
169	x	Active	Active	the buddy hurries the parent.	a doctor raised a tea.
170	x	Passive	Passive	the chocolate is eaten by the mother.	a tea was raised by a doctor.
170	y	Active	Passive	the mother eats the chocolate.	a tea was raised by a doctor.
171	y	Passive	Active	the chocolate is eaten by the mother.	a doctor raised a tea.
171	x	Active	Active	the mother eats the chocolate.	a doctor raised a tea.
172	x	Passive	Passive	the knife is smelled by the aunt.	a tea was raised by a doctor.
172	y	Active	Passive	the aunt smells the knife.	a tea was raised by a doctor.
173	y	Passive	Active	the knife is smelled by the aunt.	a doctor raised a tea.
173	x	Active	Active	the aunt smells the knife.	a doctor raised a tea.
174	x	Passive	Passive	the bowl is used by the son.	a tea was raised by a doctor.
174	y	Active	Passive	the son uses the bowl.	a tea was raised by a doctor.
175	y	Passive	Active	the bowl is used by the son.	a doctor raised a tea.
175	x	Active	Active	the son uses the bowl.	a doctor raised a tea.
176	x	Passive	Passive	the corporation is followed by the bishop.	a tea was raised by a doctor.
176	y	Active	Passive	the bishop follows the corporation.	a tea was raised by a doctor.
177	y	Passive	Active	the corporation is followed by the bishop.	a doctor raised a tea.
177	x	Active	Active	the bishop follows the corporation.	a doctor raised a tea.
178	x	Passive	Passive	the television is removed by the worker.	a tea was raised by a doctor.
178	y	Active	Passive	the worker removes the television.	a tea was raised by a doctor.
179	y	Passive	Active	the television is removed by the worker.	a doctor raised a tea.
179	x	Active	Active	the worker removes the television.	a doctor raised a tea.
180	x	Passive	Passive	a newspaper was grabbed by a mayor.	the princess is hurried by the teacher.
180	y	Active	Passive	a mayor grabbed a newspaper.	the princess is hurried by the teacher.
181	y	Passive	Active	a newspaper was grabbed by a mayor.	the teacher hurries the princess.
181	x	Active	Active	a mayor grabbed a newspaper.	the teacher hurries the princess.
182	x	Passive	Passive	a juice was drunk by an actor.	the princess is hurried by the teacher.
182	y	Active	Passive	an actor drank a juice.	the princess is hurried by the teacher.
183	y	Passive	Active	a juice was drunk by an actor.	the teacher hurries the princess.
183	x	Active	Active	an actor drank a juice.	the teacher hurries the princess.
184	x	Passive	Passive	a nurse was protected by a company.	the princess is hurried by the teacher.
184	y	Active	Passive	a company protected a nurse.	the princess is hurried by the teacher.
185	y	Passive	Active	a nurse was protected by a company.	the teacher hurries the princess.
185	x	Active	Active	a company protected a nurse.	the teacher hurries the princess.
186	x	Passive	Passive	a son was comforted by an employer.	the princess is hurried by the teacher.
186	y	Active	Passive	an employer comforted a son.	the princess is hurried by the teacher.
187	y	Passive	Active	a son was comforted by an employer.	the teacher hurries the princess.
187	x	Active	Active	an employer comforted a son.	the teacher hurries the princess.
188	x	Passive	Passive	a bowl was left by a winner.	the princess is hurried by the teacher.
188	y	Active	Passive	a winner left a bowl.	the princess is hurried by the teacher.
189	y	Passive	Active	a bowl was left by a winner.	the teacher hurries the princess.
189	x	Active	Active	a winner left a bowl.	the teacher hurries the princess.
190	x	Passive	Passive	a machine was dragged by a champion.	the princess is hurried by the teacher.
190	y	Active	Passive	a champion dragged a machine.	the princess is hurried by the teacher.
191	y	Passive	Active	a machine was dragged by a champion.	the teacher hurries the princess.
191	x	Active	Active	a champion dragged a machine.	the teacher hurries the princess.
192	x	Passive	Passive	a writer was understood by a manager.	the princess is hurried by the teacher.
192	y	Active	Passive	a manager understood a writer.	the princess is hurried by the teacher.
193	y	Passive	Active	a writer was understood by a manager.	the teacher hurries the princess.
193	x	Active	Active	a manager understood a writer.	the teacher hurries the princess.
194	x	Passive	Passive	an actor was comforted by an attorney.	the princess is hurried by the teacher.
194	y	Active	Passive	an attorney comforted an actor.	the princess is hurried by the teacher.
195	y	Passive	Active	an actor was comforted by an attorney.	the teacher hurries the princess.
195	x	Active	Active	an attorney comforted an actor.	the teacher hurries the princess.
196	x	Passive	Passive	a meal was eaten by a hero.	the princess is hurried by the teacher.
196	y	Active	Passive	a hero ate a meal.	the princess is hurried by the teacher.
197	y	Passive	Active	a meal was eaten by a hero.	the teacher hurries the princess.
197	x	Active	Active	a hero ate a meal.	the teacher hurries the princess.
198	x	Passive	Passive	a buddy was understood by a daughter.	the princess is hurried by the teacher.
198	y	Active	Passive	a daughter understood a buddy.	the princess is hurried by the teacher.
199	y	Passive	Active	a buddy was understood by a daughter.	the teacher hurries the princess.
