condition,subdesign,structure,distance,item,sent,mean_rating
SUB.d.simp.obj,sub,non,matrix,SUB.d.simp.obj.3.a,What do you think the meeting delayed?,-0.369948411
SUB.d.simp.obj,sub,non,matrix,SUB.d.simp.obj.4.a,What do you think the documentary preceded?,0.893123788
SUB.d.simp.obj,sub,non,matrix,SUB.d.simp.obj.5.a,What do you think the email criticized?,1.013379998
SUB.d.simp.obj,sub,non,matrix,SUB.d.simp.obj.6.a,What do you think the picture accompanied?,0.453376639
SUB.d.simp.obj,sub,non,matrix,SUB.d.simp.obj.7.a,What do you think the flyer promoted?,1.181896449
SUB.d.simp.obj,sub,non,matrix,SUB.d.simp.obj.8.a,What do you think the verdict started?,-0.381020099
WH.d.isl.em,wh,island,embedded,WH.d.isl.em.1.a,What do you wonder whether you like?,-0.682240624
WH.d.isl.em,wh,island,embedded,WH.d.isl.em.2.a,What do you wonder whether you wrote?,-0.996338407
WH.d.isl.em,wh,island,embedded,WH.d.isl.em.3.a,What do you wonder whether you bought?,-1.155688243
WH.d.isl.em,wh,island,embedded,WH.d.isl.em.4.a,What do you wonder whether you ate?,-0.880624913
WH.d.isl.em,wh,island,embedded,WH.d.isl.em.5.a,What do you wonder whether you read?,-1.084689329
WH.d.isl.em,wh,island,embedded,WH.d.isl.em.6.a,What do you wonder whether you saw?,-1.189311123
WH.d.isl.em,wh,island,embedded,WH.d.isl.em.7.a,What do you wonder whether you started?,-1.139735683
WH.d.isl.em,wh,island,embedded,WH.d.isl.em.8.a,What do you wonder whether you baked?,-0.581296676
WH.d.isl.ma,wh,island,matrix,WH.d.isl.ma.1.a,Who wonders whether you like hockey?,0.281738487
WH.d.isl.ma,wh,island,matrix,WH.d.isl.ma.2.a,Who wonders whether you wrote the letter?,0.197879097
WH.d.isl.ma,wh,island,matrix,WH.d.isl.ma.3.a,Who wonders whether you bought the house?,0.300413613
WH.d.isl.ma,wh,island,matrix,WH.d.isl.ma.4.a,Who wonders whether you ate the salad?,0.497436693
WH.d.isl.ma,wh,island,matrix,WH.d.isl.ma.5.a,Who wonders whether you read the book?,0.120306842
WH.d.isl.ma,wh,island,matrix,WH.d.isl.ma.6.a,Who wonders whether you saw the movie?,0.662778152
WH.d.isl.ma,wh,island,matrix,WH.d.isl.ma.7.a,Who wonders whether you started the rumor?,0.213063143
WH.d.isl.ma,wh,island,matrix,WH.d.isl.ma.8.a,Who wonders whether you baked the cake?,0.722867714
WH.d.non.em,wh,non,embedded,WH.d.non.em.1.a,What do you think that you like?,0.005510438
WH.d.non.em,wh,non,embedded,WH.d.non.em.2.a,What do you think that you wrote?,0.200178634
WH.d.non.em,wh,non,embedded,WH.d.non.em.3.a,What do you think that you bought?,0.26757692
WH.d.non.em,wh,non,embedded,WH.d.non.em.4.a,What do you think that you ate?,-0.083655807
WH.d.non.em,wh,non,embedded,WH.d.non.em.5.a,What do you think that you read?,-0.045888286
WH.d.non.em,wh,non,embedded,WH.d.non.em.6.a,What do you think that you saw?,0.175327133
WH.d.non.em,wh,non,embedded,WH.d.non.em.7.a,What do you think that you started?,0.287543757
WH.d.non.em,wh,non,embedded,WH.d.non.em.8.a,What do you think that you baked?,-0.095538591
WH.d.non.ma,wh,non,matrix,WH.d.non.ma.1.a,Who thinks that you like hockey?,0.822971087
WH.d.non.ma,wh,non,matrix,WH.d.non.ma.2.a,Who thinks that you wrote the letter?,1.044483407
WH.d.non.ma,wh,non,matrix,WH.d.non.ma.3.a,Who thinks that you bought the house?,0.977432917
WH.d.non.ma,wh,non,matrix,WH.d.non.ma.4.a,Who thinks that you ate the salad?,0.446698109
WH.d.non.ma,wh,non,matrix,WH.d.non.ma.5.a,Who thinks that you read the book?,0.941222188
WH.d.non.ma,wh,non,matrix,WH.d.non.ma.6.a,Who thinks that you saw the movie?,0.695023928
WH.d.non.ma,wh,non,matrix,WH.d.non.ma.7.a,Who thinks that you started the rumor?,1.00894557
WH.d.non.ma,wh,non,matrix,WH.d.non.ma.8.a,Who thinks that you baked the cake?,0.676550398
