subject,gender,age,recall,survey,condition,subdesign,structure,distance,item,raw.judgment,zscores
36,F,20,5.0,2,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.2.a,3,-0.30054788
37,F,20,4.5,2,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.2.a,5,0.437166396
38,M,20,4.25,3,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.3.a,1,-1.260486509
39,F,19,4.25,3,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.3.a,1,-1.171607251
40,F,20,2.75,3,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.3.a,2,-0.939066813
41,F,21,3.5,3,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.3.a,3,0.131528569
42,F,22,4.0,3,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.3.a,1,-0.938470235
43,M,21,3.25,3,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.3.a,1,-1.086997813
44,F,20,4.5,3,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.3.a,2,-0.880249285
45,F,23,4.0,3,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.3.a,2,-1.251549999
46,M,21,3.0,3,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.3.a,5,0.366847937
47,F,20,2.5,3,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.3.a,1,-1.664550986
48,M,21,3.75,3,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.3.a,2,-0.772427591
49,M,21,5.75,3,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.3.a,2,-0.831044401
50,M,21,2.5,3,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.3.a,1,-1.495844637
51,M,21,4.75,3,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.3.a,1,-1.189510492
52,F,22,3.0,3,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.3.a,1,-1.278951808
53,F,19,3.0,3,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.3.a,2,-0.871251253
54,F,19,3.25,3,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.3.a,3,-0.805566824
55,F,21,4.0,4,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.4.a,1,-1.206869466
56,M,21,2.75,4,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.4.a,1,-1.745785486
57,M,21,4.25,4,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.4.a,1,-0.99998893
58,M,20,3.25,4,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.4.a,1,-1.028484519
59,F,21,5.5,4,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.4.a,1,-1.315262086
60,F,20,4.0,4,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.4.a,1,-1.051609411
61,F,20,3.75,4,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.4.a,1,-1.285901221
62,F,19,4.0,4,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.4.a,1,-1.498150563
63,M,21,3.75,4,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.4.a,1,-1.004529026
64,F,23,4.75,4,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.4.a,1,-1.031939524
65,F,24,4.0,4,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.4.a,1,-1.127922051
66,M,23,5.5,4,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.4.a,7,1.935051383
67,F,21,4.25,4,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.4.a,2,-1.367624789
68,M,23,4.5,4,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.4.a,2,-0.735642048
69,M,20,3.5,4,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.4.a,1,-1.490470147
70,F,20,2.75,4,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.4.a,1,-1.338161691
71,F,22,4.5,4,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.4.a,1,-1.533232649
72,F,21,4.5,4,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.4.a,4,-0.245245535
73,F,21,4.5,4,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.4.a,1,-1.264373147
74,F,21,3.5,4,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.4.a,2,-1.002888224
75,F,22,3.5,5,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.5.a,1,-1.715535907
76,F,21,4.75,5,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.5.a,1,-2.149563318
77,F,21,5.25,5,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.5.a,1,-1.266493608
78,M,19,4.25,5,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.5.a,1,-1.191716044
79,M,20,5.25,5,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.5.a,2,-1.392897423
80,F,18,5.0,5,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.5.a,1,-1.350330741
81,M,18,5.5,5,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.5.a,1,-1.0757309
82,M,27,4.0,5,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.5.a,1,-0.980306232
83,F,21,3.0,5,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.5.a,1,-1.264694921
84,M,20,4.5,5,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.5.a,2,-0.992877175
85,F,21,4.5,5,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.5.a,1,-1.76519915
86,F,21,4.5,5,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.5.a,1,-1.626947326
87,F,21,4.75,5,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.5.a,1,-2.022043377
88,F,20,6.0,5,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.5.a,2,-1.072979362
89,F,22,3.5,5,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.5.a,1,-1.577984656
90,M,20,4.25,6,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.6.a,5,0.0
91,M,20,5.25,6,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.6.a,2,-0.889858318
92,M,22,2.75,6,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.6.a,3,-0.88100843
93,M,25,4.75,6,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.6.a,4,-0.014213198
94,F,22,6.0,6,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.6.a,2,-0.896410198
95,M,21,6.0,6,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.6.a,3,-0.410834459
96,F,18,4.75,6,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.6.a,4,-1.489521452
97,M,19,3.75,6,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.6.a,2,-2.129850909
98,M,21,4.75,6,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.6.a,2,-0.926652719
99,M,22,3.5,6,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.6.a,2,-0.903656877
100,F,21,3.0,6,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.6.a,2,-1.269939014
101,F,21,4.75,6,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.6.a,4,-0.706272437
102,M,24,4.0,6,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.6.a,1,-0.919482393
103,M,22,3.75,6,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.6.a,3,-0.719478019
104,F,23,4.25,6,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.6.a,1,-1.588405941
105,F,21,4.5,6,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.6.a,1,-1.430788673
106,M,25,4.75,6,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.6.a,1,-1.379221907
107,M,21,5.0,6,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.6.a,3,-0.394498592
108,F,21,4.75,6,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.6.a,2,-0.786964093
109,F,23,5.5,6,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.6.a,1,-1.1768795
110,F,25,6.0,6,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.6.a,1,-1.217196088
111,M,21,4.0,6,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.6.a,3,-0.715968949
112,F,21,4.5,6,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.6.a,1,-1.183770192
113,M,19,3.75,6,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.6.a,1,-1.201218957
114,F,19,4.25,6,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.6.a,4,-0.213551705
115,M,20,4.25,6,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.6.a,5,0.0
116,M,20,5.25,6,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.6.a,2,-0.889858318
117,M,21,3.25,6,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.6.a,5,0.081393757
118,M,21,3.5,6,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.6.a,4,-0.574478489
119,F,21,5.25,7,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.7.a,2,-1.051991467
120,M,22,4.75,7,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.7.a,1,-1.090087879
121,F,22,5.0,7,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.7.a,1,-1.709326079
122,F,21,6.25,7,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.7.a,1,-0.984731928
123,F,21,6.25,7,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.7.a,2,-0.549552574
124,F,24,5.25,7,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.7.a,1,-1.373625611
125,M,22,2.75,7,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.7.a,2,-0.809890864
126,M,21,3.75,7,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.7.a,2,-1.325808551
127,F,22,2.25,7,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.7.a,1,-1.393962294
128,M,19,3.75,7,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.7.a,3,-0.40717324
129,M,21,2.5,7,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.7.a,3,-0.620420357
130,M,21,3.75,7,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.7.a,3,-0.256868802
131,F,21,1.75,7,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.7.a,2,-1.220213279
132,M,25,2.75,7,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.7.a,1,-1.30252674
133,M,24,4.5,8,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.8.a,6,0.755351813
134,F,21,3.75,8,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.8.a,3,-0.130306442
135,F,20,4.0,8,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.8.a,1,-1.508658858
136,M,20,3.75,8,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.8.a,1,-1.703802336
137,M,25,3.0,8,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.8.a,1,-1.120854127
138,M,20,3.0,8,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.8.a,1,-1.516486582
139,F,22,3.75,8,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.8.a,3,-0.813569165
140,M,20,4.75,8,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.8.a,1,-0.793971527
141,F,19,6.5,8,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.8.a,1,-1.167017495
142,M,22,4.0,8,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.8.a,1,-1.331591048
1,F,21,3.5,1,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.1.a,3,-0.437802067
2,F,21,5.75,1,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.1.a,7,1.399404635
3,M,22,3.5,1,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.1.a,5,0.528925236
4,F,24,5.75,1,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.1.a,7,0.981887246
5,F,23,3.25,1,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.1.a,6,0.914137926
6,M,24,6.5,1,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.1.a,6,0.65926204
7,F,21,3.5,1,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.1.a,5,0.184662751
8,F,21,3.75,1,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.1.a,6,0.696722734
9,F,22,3.5,1,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.1.a,1,-1.028397133
10,F,21,4.25,1,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.1.a,7,1.449578343
11,F,25,4.0,1,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.1.a,6,0.79190248
12,F,22,3.5,1,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.1.a,7,1.186655689
13,M,19,1.75,1,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.1.a,7,0.667139983
14,F,18,3.5,1,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.1.a,6,0.576884186
15,F,20,4.75,1,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.1.a,7,0.851308568
16,M,21,3.25,1,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.1.a,3,-1.060806743
17,F,21,3.5,1,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.1.a,6,0.737620286
18,F,21,4.25,1,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.1.a,5,0.36541211
19,M,20,3.75,1,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.1.a,3,-0.183174342
20,M,22,3.0,1,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.1.a,7,0.916249107
21,M,19,6.25,2,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.2.a,4,0.340063677
22,F,19,5.25,2,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.2.a,6,0.92974261
23,M,22,5.25,2,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.2.a,7,0.931290697
24,F,24,4.5,2,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.2.a,4,-0.193418034
25,M,25,3.0,2,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.2.a,5,0.360843918
26,M,22,4.5,2,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.2.a,5,0.294399276
27,M,20,3.75,2,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.2.a,6,1.089312781
28,M,21,4.0,2,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.2.a,5,0.128074358
29,F,21,3.0,2,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.2.a,7,1.222900612
30,M,19,4.75,2,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.2.a,7,1.952099388
31,M,21,5.0,2,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.2.a,7,2.406574525
32,M,19,4.0,2,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.2.a,3,-0.540039228
33,M,19,5.0,2,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.2.a,4,0.047452988
34,F,18,3.5,2,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.2.a,7,1.056126015
35,F,21,4.75,2,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.2.a,6,0.709260612
36,F,20,5.0,2,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.2.a,4,0.180328728
37,F,20,4.5,2,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.2.a,7,1.2143511
38,M,20,4.25,3,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.3.a,5,0.739624315
39,F,19,4.25,3,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.3.a,3,-0.23432145
40,F,20,2.75,3,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.3.a,7,1.187122197
41,F,21,3.5,3,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.3.a,2,-0.499808562
42,F,22,4.0,3,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.3.a,5,1.13263649
43,M,21,3.25,3,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.3.a,7,1.086997813
44,F,20,4.5,3,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.3.a,6,0.997615857
45,F,23,4.0,3,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.3.a,6,0.856323684
46,M,21,3.0,3,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.3.a,6,0.974044523
47,F,20,2.5,3,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.3.a,7,0.926750008
48,M,21,3.75,3,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.3.a,3,-0.21904663
49,M,21,5.75,3,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.3.a,3,-0.38782072
50,M,21,2.5,3,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.3.a,6,0.465918821
51,M,21,4.75,3,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.3.a,7,1.03502861
52,F,22,3.0,3,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.3.a,2,-0.827557052
53,F,19,3.0,3,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.3.a,6,0.737212599
54,F,19,3.25,3,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.3.a,5,0.185900036
55,F,21,4.0,4,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.4.a,6,0.661831643
56,M,21,2.75,4,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.4.a,7,1.127278628
57,M,21,4.25,4,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.4.a,4,0.161288537
58,M,20,3.25,4,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.4.a,3,-0.268988259
59,F,21,5.5,4,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.4.a,4,0.346121602
60,F,20,4.0,4,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.4.a,3,0.0
61,F,20,3.75,4,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.4.a,5,0.65813842
62,F,19,4.0,4,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.4.a,7,1.148888468
63,M,21,3.75,4,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.4.a,6,0.987925241
64,F,23,4.75,4,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.4.a,7,1.384309117
65,F,24,4.0,4,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.4.a,2,-0.723890271
66,M,23,5.5,4,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.4.a,5,0.908725788
67,F,21,4.25,4,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.4.a,6,0.481558024
68,M,23,4.5,4,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.4.a,4,0.076100901
69,M,20,3.5,4,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.4.a,4,0.226551462
70,F,20,2.75,4,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.4.a,7,0.98346823
71,F,22,4.5,4,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.4.a,4,-0.108810059
72,F,21,4.5,4,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.4.a,4,-0.245245535
73,F,21,4.5,4,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.4.a,7,1.011498518
74,F,21,3.5,4,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.4.a,4,0.043603836
75,F,22,3.5,5,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.5.a,3,-0.820473694
76,F,21,4.75,5,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.5.a,5,0.182166383
77,F,21,5.25,5,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.5.a,6,0.669547576
78,M,19,4.25,5,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.5.a,6,0.942700751
79,M,20,5.25,5,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.5.a,5,0.224660875
80,F,18,5.0,5,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.5.a,2,-0.87722216
81,M,18,5.5,5,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.5.a,7,0.910233839
82,M,27,4.0,5,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.5.a,1,-0.980306232
83,F,21,3.0,5,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.5.a,5,0.332814453
84,M,20,4.5,5,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.5.a,5,0.451307807
85,F,21,4.5,5,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.5.a,5,0.107277296
86,F,21,4.5,5,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.5.a,7,0.961786541
87,F,21,4.75,5,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.5.a,7,0.949122402
88,F,20,6.0,5,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.5.a,5,0.318993865
89,F,22,3.5,5,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.5.a,6,0.447236293
90,M,20,4.25,6,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.6.a,7,0.788997184
91,M,20,5.25,6,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.6.a,6,0.947268532
92,M,22,2.75,6,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.6.a,6,1.132725124
93,M,25,4.75,6,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.6.a,5,0.668020297
94,F,22,6.0,6,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.6.a,7,1.276705434
95,M,21,6.0,6,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.6.a,7,1.267468011
96,F,18,4.75,6,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.6.a,6,0.015679173
97,M,19,3.75,6,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.6.a,7,1.006125889
98,M,21,4.75,6,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.6.a,7,0.990559804
99,M,22,3.5,6,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.6.a,5,0.424165473
100,F,21,3.0,6,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.6.a,6,0.907099295
101,F,21,4.75,6,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.6.a,6,0.369952229
102,M,24,4.0,6,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.6.a,3,-0.131354628
103,M,22,3.75,6,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.6.a,6,0.528773002
104,F,23,4.25,6,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.6.a,4,-0.378191891
105,F,21,4.5,6,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.6.a,7,0.910501883
106,M,25,4.75,6,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.6.a,5,0.178487541
107,M,21,5.0,6,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.6.a,6,0.788997184
108,F,21,4.75,6,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.6.a,5,0.515597165
109,F,23,5.5,6,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.6.a,6,0.826319649
110,F,25,6.0,6,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.6.a,6,0.930797009
111,M,21,4.0,6,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.6.a,6,0.677267925
112,F,21,4.5,6,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.6.a,6,0.591885096
113,M,19,3.75,6,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.6.a,4,-0.032465377
